Unique_Sample_ID,Condition_Name,pH,buffer,nucleoside,concentrations,Data_File,Well_Number,Time_Point,Blank_Unique_Sample_ID,Total_Concentration,Wavelength_Start,Wavelength_End,Isosbestic_Point,Reference_Spectrum_Substrate,Reference_Spectrum_Product,Replicate
2024-05-14-RTG4-empty-cuvette-2,blank,,,,,./lab-data-processed/cary300/2024-05/2024-05-14-RTG4-empty-cuvette-2.tsv,Abs,0,nan,nan,240,349,nan,,,1
uid1,x27,8,Tris,uridine,2 mM; 10 mM phosphate,./lab-data-processed/cary300/2024-05/2024-05-14-RTG5-t0-x27-2.tsv,Abs,0,2024-05-14-RTG4-empty-cuvette-2,1,240,349,271,./lab-data-reference-spectra/Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
uid2,x28,8,Tris,uridine,2 mM; 5 mM phosphate,./lab-data-processed/cary300/2024-05/2024-05-14-RTG5-t0x28-4.tsv,Abs,0,2024-05-14-RTG4-empty-cuvette-2,1,240,349,271,./lab-data-reference-spectra/Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
uid3,x27,8,Tris,uridine,2 mM; 10 mM phosphate,./lab-data-processed/cary300/2024-05/2024-05-14-RTG5-t1x27-6.tsv,Abs,1,2024-05-14-RTG4-empty-cuvette-2,1,240,349,271,./lab-data-reference-spectra/Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
uid4,x28,8,Tris,uridine,2 mM; 5 mM phosphate,./lab-data-processed/cary300/2024-05/2024-05-14-RTG5-t1x28-8.tsv,Abs,1,2024-05-14-RTG4-empty-cuvette-2,1,240,349,271,./lab-data-reference-spectra/Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
uid5,x27,8,Tris,uridine,2 mM; 10 mM phosphate,./lab-data-processed/cary300/2024-05/2024-05-14-RTG5-t12x27-10.tsv,Abs,12,2024-05-14-RTG4-empty-cuvette-2,1,240,349,271,./lab-data-reference-spectra/Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
uid6,x28,8,Tris,uridine,2 mM; 5 mM phosphate,./lab-data-processed/cary300/2024-05/2024-05-14-RTG5-t12x28-12.tsv,Abs,12,2024-05-14-RTG4-empty-cuvette-2,1,240,349,271,./lab-data-reference-spectra/Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
uid7,x27,8,Tris,uridine,2 mM; 10 mM phosphate,./lab-data-processed/cary300/2024-05/2024-05-14-RTG5-t35x27-14.tsv,Abs,35,2024-05-14-RTG4-empty-cuvette-2,1,240,349,271,./lab-data-reference-spectra/Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
uid8,x28,8,Tris,uridine,2 mM; 5 mM phosphate,./lab-data-processed/cary300/2024-05/2024-05-14-RTG5-t35x28-16.tsv,Abs,35,2024-05-14-RTG4-empty-cuvette-2,1,240,349,271,./lab-data-reference-spectra/Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
uid9,x27,8,Tris,uridine,2 mM; 10 mM phosphate,./lab-data-processed/cary300/2024-05/2024-05-14-RTG5-t93c27-18.tsv,Abs,93,2024-05-14-RTG4-empty-cuvette-2,1,240,349,271,./lab-data-reference-spectra/Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
uid10,x28,8,Tris,uridine,2 mM; 5 mM phosphate,./lab-data-processed/cary300/2024-05/2024-05-14-RTG5-t93x28-20.tsv,Abs,93,2024-05-14-RTG4-empty-cuvette-2,1,240,349,271,./lab-data-reference-spectra/Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
uid11,x27,8,Tris,uridine,2 mM; 10 mM phosphate,./lab-data-processed/cary300/2024-05/2024-05-15-RTG5-t26h-x27-23.tsv,Abs,1560,2024-05-14-RTG4-empty-cuvette-2,1,240,349,271,./lab-data-reference-spectra/Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
uid12,x28,8,Tris,uridine,2 mM; 5 mM phosphate,./lab-data-processed/cary300/2024-05/2024-05-15-RTG5-t26h-x28-24.tsv,Abs,1560,2024-05-14-RTG4-empty-cuvette-2,1,240,349,271,./lab-data-reference-spectra/Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
